cnpj,empresa,contratos,valor_contratado,sancionada,ordens_bancarias,valor_recebido,tambem_fornece_a_gabinete,valor_recebido_de_gabinete,as_of
01688354000133,AV COMUNICAÇÃO E MARKETING LTDA,1,"43.998.040,00",não,239,"59.284.549,26",não,,2026-06-26T15:56:41
04784569000227,CALIA/Y2 PROPAGANDA E MARKETING LTDA.,1,"43.998.040,00",não,225,"42.877.613,98",não,,2026-06-26T15:56:41
38036000000114,JME SERVICOS INTEGRADOS E EQUIPAMENTOS LTDA | JME SERVIÇOS INTEGRADOS E EQUIPAMENTOS EIRELI,2,"18.054.126,42",não,68,"23.671.148,57",não,,2026-06-26T15:56:41
07522669000192,NEOENERGIA DISTRIBUIÇÃO BRASÍLIA,1,"0,00",não,59,"12.601.176,40",sim,"7.725,66",2026-06-26T15:56:41
20022974000183,NORDEN TECNOLOGIA LTDA,1,"11.420.000,00",não,2,"11.219.008,00",não,,2026-06-26T15:56:41
03017428000135,NCT INFORMATICA LTDA | NCT INFORMÁTICA LTDA,7,"11.694.040,85",não,19,"10.339.828,93",não,,2026-06-26T15:56:41
19877285000252,LANLINK SOLUCOES E COMERCIALIZACAO EM INFORMATICA S/A,3,"11.824.424,27",não,12,"9.983.878,68",não,,2026-06-26T15:56:41
13258899000199,SEFIX - GESTÃO DE PROFISSIONAIS EIRELI,2,"5.791.242,96",não,65,"8.902.961,69",não,,2026-06-26T15:56:41
11349160000167,VIPPIM SEGURANCA E VIGILANCIA LTDA - SERVIÇOS DE BOMBEIRO CIVIL,1,"3.029.532,72",não,50,"6.921.459,96",não,,2026-06-26T15:56:41
05741114000106,SEA TECNOLOGIA LTDA,1,"4.100.878,70",não,73,"6.710.283,18",não,,2026-06-26T15:56:41
12817803000465,PARTNER SECURITY SERVICOS DE SEGURANCA LTDA,1,"5.147.440,08",não,26,"6.360.171,60",não,,2026-06-26T15:56:41
05342580000119,UNIVERSIDADE PATATIVA ASSARÉ - UPA,1,"2.441.198,88",não,35,"5.989.589,54",não,,2026-06-26T15:56:41
02543216000714,PERFIL COMPUTACIONAL LTDA,2,"15.082.922,16",não,2,"5.506.789,03",não,,2026-06-26T15:56:41
00609334000167,IMPACTO AUDITORIA EM SAUDE LTDA,1,"4.120.000,00",não,46,"5.182.407,22",não,,2026-06-26T15:56:41
02282727000134,ZEPIM SEGURANÇA E VIGILÂNCIA EIRELI,1,"4.635.734,83",não,26,"4.962.663,56",não,,2026-06-26T15:56:41
00881775000113,CONSÓRCIO FÁCIL E IMPACTO (REZEK FERREIRA INFORMÁTICA LTDA e IMPACTO AUDITORIA EM SAÚDE LTDA),1,"2.434.971,26",não,35,"4.545.228,30",não,,2026-06-26T15:56:41
31379786000123,CONTEXA INOVACAO EM TECNOLOGIA LTDA,2,"252.449,63",não,89,"4.541.683,85",não,,2026-06-26T15:56:41
08990948000143,CRP TECNOLOGIA S.A (Antiga KRP CONSULTORIA EM TECNOLOGIA DE INFORMACAO LTDA),1,"4.661.378,40",não,11,"4.400.418,28",não,,2026-06-26T15:56:41
13922714000107,MILLENNIUM EVENTOS EIRELI,3,"8.985.120,00",não,65,"4.107.621,32",não,,2026-06-26T15:56:41
05699150000159,EM2 IT SOLUTIONS SERVICOS EM TECNOLOGIA DA INFORMACAO LTDA,1,"4.305.600,00",não,2,"4.027.659,46",não,,2026-06-26T15:56:41
03619767000515,TORINO INFORMATICA LTDA | TORINO INFORMÁTICA LTDA.,3,"3.861.502,00",não,8,"3.811.607,18",não,,2026-06-26T15:56:41
72619976000158,AGIL EMPRESA DE VIGILANCIA LTDA,1,"5.617.389,96",não,12,"3.745.237,25",não,,2026-06-26T15:56:41
88633680000202,OSM CONSULTORIA E SISTEMAS LTDA,3,"2.766.769,44",não,123,"3.501.526,07",não,,2026-06-26T15:56:41
08220275000142,GRÁFICA E EDITORA MOVIMENTO LTDA.,1,"1.298.615,50",não,41,"3.238.075,42",não,,2026-06-26T15:56:41
02604476000167,CLIMATICA ENGENHARIA EIRELI | CLIMATICA ENGENHARIA LTDA,2,"2.012.872,66",não,107,"3.096.832,97",não,,2026-06-26T15:56:41
12625657000123,BK TECNOLOGIA DA INFORMAÇÃO LTDA,2,"8.392.000,00",não,2,"3.076.532,00",não,,2026-06-26T15:56:41
61600839000155,CENTRO DE INTEGRAÇÃO EMPRESA ESCOLA - CIEE,1,"2.051.330,88",não,26,"2.603.137,96",não,,2026-06-26T15:56:41
00082024000137,COMPANHIA DE SANEAMENTO AMBIENTAL DO DISTRITO FEDERAL (CAESB),2,"69.408,35",não,57,"2.489.779,52",sim,"2.216,32",2026-06-26T15:56:41
14470051000191,EBM QUINTTO COMUNICAÇÃO LTDA.,1,"43.998.040,00",não,8,"2.422.691,04",não,,2026-06-26T15:56:41
21024602000159,CODEX ATLANTICUS TECNOLOGIA E INFORMAÇÃO LTDA | TAYTA SOLUTIONS LTDA,2,"1.499.542,00",não,34,"2.081.755,17",não,,2026-06-26T15:56:41
04744995000156,TOP SERVIÇOS E CONSTRUÇÕES EIRELI,1,"3.299.448,72",não,57,"1.907.954,72",não,,2026-06-26T15:56:41
05058935000142,INTERATIVA FACILITIES LTDA,1,"2.325.000,06",não,41,"1.833.496,73",não,,2026-06-26T15:56:41
09169349000126,TRANSMONICI TRANSPORTE E TURISMO LTDA.- ME,1,"749.737,50",não,36,"1.832.732,71",não,,2026-06-26T15:56:41
01114245000102,CONNECTOR ENGENHARIA LTDA,1,"1.726.207,74",não,22,"1.786.955,57",não,,2026-06-26T15:56:41
23921349000161,VISUAL SISTEMA ELETRÔNICO LTDA | VISUAL SISTEMAS ELETRONICOS LTDA,3,"3.437.549,70",não,102,"1.697.820,18",não,,2026-06-26T15:56:41
21992832000101,PONTUAL SERVIÇOS GERAIS LTDA,1,"550.314,16",não,58,"1.523.277,69",não,,2026-06-26T15:56:41
37131539000190,STAR LOCAÇÃO DE SERVIÇOS GERAIS LTDA,1,"6.249.896,70",não,23,"1.519.307,75",não,,2026-06-26T15:56:41
07566931000109,R2R CONSTRUÇÕES E SERVIÇOS EIRELI,1,"999.633,10",não,31,"1.455.292,85",não,,2026-06-26T15:56:41
07432517000107,SIMPRESS COMERCIO LOCACAO E SERVICOS LTDA | SIMPRESS COMERCIO LOCACAO E SERVICOS LTDA.,2,"865.271,89",não,66,"1.295.417,93",não,,2026-06-26T15:56:41
02116643000120,AXEN ENGENHARIA E TECNOLOGIA LTDA (Antigo RONALDO DE SOUZA MOSCOSO; antigo RMS ENGENHARIA E TECNOLOGIA LTDA),1,"315.542,12",não,71,"1.141.779,61",não,,2026-06-26T15:56:41
03535902000110,DECISION SERVICOS DE TECNOLOGIA DA INFORMACAO LTDA | DECISION SERVIÇOS DE TECNOLOGIA DA INFORMAÇÃO LTDA,2,"2.474.029,00",não,4,"1.110.968,97",não,,2026-06-26T15:56:41
01847054000150,REDXCORP PRODUÇÃO E LOCAÇÃO EIRELI,1,"1.189.916,80",não,4,"1.110.364,68",não,,2026-06-26T15:56:41
10629386000159,OVER ELEVADORES LTDA,1,"1.041.000,00",não,24,"1.078.994,40",não,,2026-06-26T15:56:41
